epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,888.054,2.77787,4.22292,1.89657,0.17957,0.14596,0.03401,0.0111,2.60075,4.05484,1.86323,0.000164815,0.000164815,0.000164815
2,1615.87,2.35819,3.01959,1.58488,0.14823,0.15371,0.05348,0.01766,2.48125,3.18061,1.77274,0.000324918,0.000324918,0.000324918
3,3428.18,2.29443,2.85218,1.57423,0.0938,0.14678,0.05589,0.01859,2.52398,3.1159,1.73027,0.000478421,0.000478421,0.000478421
4,4877.62,2.24342,2.75941,1.55718,0.18928,0.15006,0.0807,0.028,2.41831,3.27055,1.72128,0.0004703,0.0004703,0.0004703
5,5608.39,2.24341,2.70438,1.55344,0.10655,0.16627,0.077,0.02744,2.43248,2.87379,1.75261,0.0004604,0.0004604,0.0004604
6,6337.14,2.2226,2.61733,1.53451,0.15948,0.1366,0.06731,0.02243,2.44841,2.85142,1.76876,0.0004505,0.0004505,0.0004505
7,7046.58,2.20444,2.57536,1.51545,0.20697,0.15158,0.0994,0.03521,2.38926,2.82693,1.72863,0.0004406,0.0004406,0.0004406
8,7755.52,2.18511,2.5446,1.51852,0.25186,0.16251,0.0947,0.03248,2.38195,2.68201,1.72692,0.0004307,0.0004307,0.0004307
9,8606.07,2.17619,2.4865,1.50555,0.19453,0.21258,0.12947,0.04297,2.37135,2.57554,1.69545,0.0004208,0.0004208,0.0004208
10,9319.77,2.16837,2.45166,1.49788,0.15809,0.21427,0.1367,0.04729,2.3953,2.69352,1.65958,0.0004109,0.0004109,0.0004109
11,10024.1,2.14808,2.41391,1.49708,0.1876,0.19906,0.14409,0.05126,2.36995,2.65397,1.71157,0.000401,0.000401,0.000401
12,10728.4,2.12584,2.36922,1.48424,0.17373,0.21063,0.13517,0.04789,2.40804,2.55066,1.73531,0.0003911,0.0003911,0.0003911
